"","Country","Happiness_score","GDP_per_capita","Social_support","Healthy_life_expectancy","Freedom_to_make_life_choices","Generosity","Perceptions_of_corruption","continent","year"
"38","Guatemala","6.324","0.8345445990000001","0.871189952","0.540386319","0.503786147","0.288083464","0.087014526","Americas","2016"
"28","Guatemala","6.454","0.872","1.256","0.54","0.531","0.28300000000000003","0.077","Americas","2017"
"29","Guatemala","6.382000000000001","0.7809999999999999","1.268","0.608","0.604","0.179","0.071","Americas","2018"
"26","Guatemala","6.436","0.8","1.2690000000000001","0.746","0.535","0.175","0.078","Americas","2019"
"150","Guinea","3.6069999999999998","0.224151656","0.310899138","0.188288182","0.309527636","0.299137384","0.119202852","Africa","2016"
"148","Guinea","3.5069999999999997","0.245","0.7909999999999999","0.19399999999999998","0.349","0.265","0.111","Africa","2017"
"139","Guinea","3.964","0.344","0.792","0.21100000000000002","0.39399999999999996","0.185","0.094","Africa","2018"
"117","Guinea","4.534","0.38","0.8290000000000001","0.375","0.332","0.207","0.086","Africa","2019"
"135","Haiti","4.0280000000000005","0.340972722","0.295613825","0.274940819","0.12072394800000001","0.47957807799999996","0.14475786699999998","Americas","2016"
"144","Haiti","3.603","0.369","0.64","0.27699999999999997","0.03","0.489","0.1","Americas","2017"
"147","Haiti","3.582","0.315","0.7140000000000001","0.289","0.025","0.392","0.10400000000000001","Americas","2018"
"146","Haiti","3.597","0.32299999999999995","0.688","0.449","0.026000000000000002","0.419","0.11","Americas","2019"
"103","Honduras","4.871","0.694292605","0.755958438","0.583828628","0.267550528","0.204403043","0.069061995","Americas","2016"
"90","Honduras","5.181","0.731","1.1440000000000001","0.583","0.348","0.23600000000000002","0.073","Americas","2017"
"71","Honduras","5.504","0.62","1.205","0.622","0.45899999999999996","0.19699999999999998","0.07400000000000001","Americas","2018"
"58","Honduras","5.86","0.642","1.236","0.828","0.507","0.24600000000000002","0.078","Americas","2019"
"90","Hungary","5.145","1.2414191959999998","0.9316383","0.6760838029999999","0.197703317","0.09899893400000001","0.044721223","Europe","2016"
"74","Hungary","5.324","1.286","1.3430000000000002","0.688","0.17600000000000002","0.078","0.037000000000000005","Europe","2017"
"68","Hungary","5.62","1.171","1.401","0.732","0.259","0.061","0.022000000000000002","Europe","2018"
"61","Hungary","5.757999999999999","1.2009999999999998","1.41","0.828","0.19899999999999998","0.081","0.02","Europe","2019"
"2","Iceland","7.501","1.426655412","1.1832593679999999","0.8673328159999999","0.566242337","0.476783901","0.149747416","Europe","2016"
"2","Iceland","7.504","1.4809999999999999","1.611","0.8340000000000001","0.627","0.47600000000000003","0.154","Europe","2017"
"3","Iceland","7.495","1.3430000000000002","1.6440000000000001","0.914","0.677","0.353","0.138","Europe","2018"
"3","Iceland","7.494","1.38","1.624","1.026","0.591","0.354","0.11800000000000001","Europe","2019"
"117","India","4.404","0.7403585309999999","0.29247444899999997","0.450911433","0.40284556200000005","0.25028473100000004","0.087221779","Asia","2016"
"121","India","4.315","0.792","0.754","0.455","0.47","0.23199999999999998","0.092","Asia","2017"
"132","India","4.19","0.721","0.747","0.485","0.539","0.172","0.09300000000000001","Asia","2018"
"139","India","4.015","0.755","0.765","0.588","0.498","0.2","0.085","Asia","2019"
"78","Indonesia","5.314","0.951040626","0.87625128","0.493741304","0.392365605","0.565213919","0.003222997","Asia","2016"
"80","Indonesia","5.2620000000000005","0.996","1.274","0.49200000000000005","0.44299999999999995","0.612","0.015","Asia","2017"
"95","Indonesia","5.093","0.899","1.215","0.522","0.5379999999999999","0.484","0.018000000000000002","Asia","2018"
"91","Indonesia","5.192","0.9309999999999999","1.203","0.66","0.491","0.498","0.027999999999999997","Asia","2019"
"104","Iran","4.813","1.11757791","0.38857168","0.642323375","0.22543714899999998","0.38538247299999995","0.055696428","Asia","2016"
"107","Iran","4.692","1.157","0.7120000000000001","0.639","0.249","0.387","0.049","Asia","2017"
"105","Iran","4.707","1.0590000000000002","0.7709999999999999","0.691","0.45899999999999996","0.282","0.129","Asia","2018"
"116","Iran","4.548","1.1","0.8420000000000001","0.785","0.305","0.27","0.125","Asia","2019"
"111","Iraq","4.575","1.07474339","0.592047036","0.5107596520000001","0.24855914699999998","0.195888206","0.136355549","Asia","2016"
"116","Iraq","4.497","1.103","0.9790000000000001","0.501","0.289","0.2","0.107","Asia","2017"
"116","Iraq","4.456","1.01","0.971","0.536","0.304","0.14800000000000002","0.095","Asia","2018"
"125","Iraq","4.437","1.043","0.98","0.574","0.24100000000000002","0.14800000000000002","0.08900000000000001","Asia","2019"
"18","Ireland","6.907","1.4834135769999999","1.161568046","0.8145487309999999","0.540084302","0.449628145","0.29753685","Europe","2016"
"14","Ireland","6.977","1.536","1.558","0.81","0.573","0.428","0.298","Europe","2017"
"13","Ireland","6.977","1.4480000000000002","1.5830000000000002","0.8759999999999999","0.614","0.307","0.306","Europe","2018"
"15","Ireland","7.021","1.499","1.5530000000000002","0.9990000000000001","0.516","0.298","0.31","Europe","2019"
"10","Israel","7.267","1.33766067","0.995372832","0.849171937","0.36432001","0.322876483","0.087278329","Asia","2016"
"10","Israel","7.212999999999999","1.375","1.376","0.838","0.406","0.33","0.085","Asia","2017"
"10","Israel","7.19","1.244","1.433","0.888","0.46399999999999997","0.262","0.08199999999999999","Asia","2018"
"12","Israel","7.138999999999999","1.276","1.455","1.0290000000000001","0.371","0.261","0.08199999999999999","Asia","2019"
"49","Italy","5.977","1.3549468519999999","1.0416674609999999","0.851017892","0.188266635","0.166838825","0.02555649","Europe","2016"
"47","Italy","5.9639999999999995","1.395","1.445","0.853","0.256","0.17300000000000001","0.027999999999999997","Europe","2017"
"46","Italy","6","1.264","1.501","0.946","0.281","0.13699999999999998","0.027999999999999997","Europe","2018"
